Price ($),Title,Stock Status,Manufacturor
70.04,Winchester USA Ready Match Large Pistol Primers 1000 Count,False,Winchester
70.04,Winchester USA Ready Match Large Rifle Primers 1000 Count,False,Winchester
70.04,Winchester USA Ready Match Small Pistol Primers 1000 Count,False,Winchester
70.04,Winchester USA Ready Match Small Rifle Primers 1000 Count,False,Winchester
60.90,Winchester Small Pistol Primers 1000 Count,False,Winchester
69.13,#500 Small Pistol Primer (1000 Count),False,CCI 
60.90,Winchester Large Pistol Primers 1000 Count,False,Winchester
69.13,#300 Large Pistol Primer (1000 Count),False,CCI 
60.90,Winchester Small Rifle Primers 1000 Count,False,Winchester
69.13,#400 Small Rifle Primer (1000 Count),False,CCI 
60.90,Winchester Large Rifle Primers 1000 Count,False,Winchester
69.13,#200 Large Rifle Primer (1000 Count),False,CCI 
60.90,Winchester Small Pistol Magnum Primers 1000 Count,False,Winchester
67.28,Winchester Magnum Large Rifle Primers 1000 Count,False,Winchester
76.26,#450 Magnum Small Rifle Primer (1000 Count),False,CCI 
76.26,#250 Magnum Large Rifle Primer (1000 Count),False,CCI 
69.13,#550 Magnum Small Pistol Primer (1000 Count),False,CCI 
76.26,#350 Magnum Large Pistol Primer (1000 Count),False,CCI 
76.42,Gold Medal Large Rifle Match Primer #GM210M (1000 Count),False,Federal 
90.68,#41 5.56 & 30 Carbine NATO Spec Primer 1000 Count,False,CCI 
91.14,#34 7.62mm & 30-06 NATO Spec Primer 1000 Count,False,CCI 
121.52,BR2 Large Rifle Bench Rest Primers (1000 Count),False,CCI 
121.52,BR4 Small Rifle Bench Rest Primer (1000 Count),False,CCI 
442.94,#35 50 Caliber BMG Primer (500 Count),False,CCI 
59.67,1 1/2 Small Pistol Primer (1000 Count),False,Remington
59.67,2 1/2 Large Pistol Primer (1000 Count),False,Remington
59.67,6 1/2 Small Rifle Primer (1000 Count),False,Remington
59.67,9 1/2 Large Rifle Primer (1000 Count),False,Remington
65.78,9 1/2 Magnum Large Rifle Primer (1000 Count),False,Remington
59.67,5 1/2 Small Mag Pistol Primer (1000 Count),False,Remington
